================ Precision Log (Fri Apr 11 16:02:27 2025) ================
Epoch:1030  sam 1.95197331905365,psnr 35.276153564453125,ergas 0.4546956404044012,cc 0.9838599593002237,rmse 0.014781750542573047,Ssim 0.9672559076575443,Uqi 0.9976324822427167
Epoch:1040  sam 1.9675008058547974,psnr 35.70582580566406,ergas 0.4399362282212227,cc 0.9841232422002018,rmse 0.014026526411732607,Ssim 0.9677083989248922,Uqi 0.9978086568117541
Epoch:1050  sam 2.026592493057251,psnr 35.158477783203125,ergas 0.47140743359375203,cc 0.984223717038783,rmse 0.014812371043581365,Ssim 0.967628539882358,Uqi 0.9973980957045104
Epoch:1060  sam 1.9101868867874146,psnr 36.66407012939453,ergas 0.39920316121030947,cc 0.9845059045725857,rmse 0.012705911846880023,Ssim 0.9689231221099902,Uqi 0.998348669858118
Epoch:1070  sam 1.8959290981292725,psnr 35.218353271484375,ergas 0.4603144985445879,cc 0.9845505512300484,rmse 0.014561819256519363,Ssim 0.9678629793707274,Uqi 0.9976409218015507
Epoch:1080  sam 1.8948379755020142,psnr 36.38945007324219,ergas 0.40878568884028493,cc 0.984737990645493,rmse 0.01309660390214854,Ssim 0.968908128721546,Uqi 0.9982582062743895
Epoch:1090  sam 1.9729058742523193,psnr 36.7888298034668,ergas 0.3993203116879241,cc 0.9846539515409494,rmse 0.012516490435505267,Ssim 0.9694935641882814,Uqi 0.9983538514164114
Epoch:1100  sam 1.8810957670211792,psnr 35.245506286621094,ergas 0.4558752460848932,cc 0.9847033933941283,rmse 0.014715043296277291,Ssim 0.9688416393517285,Uqi 0.9975918743763571
Epoch:1110  sam 1.8822405338287354,psnr 35.404998779296875,ergas 0.45347847472547614,cc 0.9847746210873789,rmse 0.014205682311569084,Ssim 0.9680503861235411,Uqi 0.9977582612033842
Epoch:1120  sam 1.9531948566436768,psnr 36.32386016845703,ergas 0.419185715902499,cc 0.9848751339497438,rmse 0.012985327265008225,Ssim 0.9689288573690106,Uqi 0.99810065162026
Epoch:1130  sam 1.8580862283706665,psnr 35.58973693847656,ergas 0.44177637703687866,cc 0.9850908635993888,rmse 0.014065061736188546,Ssim 0.9694114961808902,Uqi 0.9978101016624661
Epoch:1140  sam 1.8587876558303833,psnr 37.50807571411133,ergas 0.3693790597952814,cc 0.985211741928682,rmse 0.011652860714352845,Ssim 0.9707065251128131,Uqi 0.9986310480144861
Epoch:1150  sam 1.925207495689392,psnr 37.09253692626953,ergas 0.3882948995903329,cc 0.9851565974486785,rmse 0.012293315249271637,Ssim 0.9707495883893853,Uqi 0.9984195285071409
Epoch:1160  sam 1.8675071001052856,psnr 36.520416259765625,ergas 0.40512450921354565,cc 0.9853688148931011,rmse 0.012763963870922625,Ssim 0.9711072410169136,Uqi 0.9981671547340359
Epoch:1170  sam 1.8185536861419678,psnr 36.90701675415039,ergas 0.3904634002158068,cc 0.9854000883765861,rmse 0.012438548095839535,Ssim 0.971393426701789,Uqi 0.9983790746689843
Epoch:1180  sam 1.8102574348449707,psnr 36.73765563964844,ergas 0.3972133868894617,cc 0.9855156125747985,rmse 0.012558101112184791,Ssim 0.9714494205798009,Uqi 0.99829602463794
Epoch:1190  sam 1.8089218139648438,psnr 36.786251068115234,ergas 0.3956121145820922,cc 0.9855636447882885,rmse 0.012541449860562758,Ssim 0.9716667089310822,Uqi 0.9982888389315049
Epoch:1200  sam 1.825033187866211,psnr 36.55858612060547,ergas 0.4043424126516281,cc 0.9854708068943168,rmse 0.012854729521905237,Ssim 0.9716922704344649,Uqi 0.9981468334828102
Epoch:1210  sam 1.8078025579452515,psnr 36.91155242919922,ergas 0.39007789074491533,cc 0.9856124854255365,rmse 0.012455109652529758,Ssim 0.9718672427058221,Uqi 0.9983441011841554
Epoch:1220  sam 1.7916111946105957,psnr 36.92338562011719,ergas 0.3886383640508934,cc 0.9857703150686026,rmse 0.012399564708385378,Ssim 0.9720246943482848,Uqi 0.9983821698494398
Epoch:1230  sam 1.7942665815353394,psnr 36.98664474487305,ergas 0.3871807401581324,cc 0.9857975671963648,rmse 0.012286310603467793,Ssim 0.9719513898264345,Uqi 0.9983906363102139
Epoch:1240  sam 1.7882487773895264,psnr 36.80459976196289,ergas 0.39353009140980494,cc 0.9858614897783714,rmse 0.012531616508739761,Ssim 0.9722640799313154,Uqi 0.9982931794576019
Epoch:1250  sam 1.7875850200653076,psnr 37.03608703613281,ergas 0.3857018859738678,cc 0.9857929792389625,rmse 0.012260758180168337,Ssim 0.9724532798516675,Uqi 0.9983975019812085
Epoch:1260  sam 1.7753454446792603,psnr 36.756919860839844,ergas 0.39586951917168534,cc 0.9859943020987088,rmse 0.01255690998572624,Ssim 0.9724530901132036,Uqi 0.9982697354615369
Epoch:1270  sam 1.773094892501831,psnr 37.23908233642578,ergas 0.3778402096716634,cc 0.9860178212704573,rmse 0.011935347938354102,Ssim 0.9722627653536503,Uqi 0.9984591213902577
Epoch:1280  sam 1.769599437713623,psnr 37.522491455078125,ergas 0.3685690477363092,cc 0.9860785929854428,rmse 0.011711246301577256,Ssim 0.972674081886665,Uqi 0.9985712853679629
Epoch:1290  sam 1.7695116996765137,psnr 36.91220474243164,ergas 0.3905198029149393,cc 0.9860763752988936,rmse 0.012384005999855702,Ssim 0.9728997948534059,Uqi 0.9983279429836585
Epoch:1300  sam 1.7574328184127808,psnr 37.600765228271484,ergas 0.3657353831724961,cc 0.9861355668609472,rmse 0.011624885639880829,Ssim 0.9729180948353178,Uqi 0.9986176425821012
Epoch:1310  sam 1.7588903903961182,psnr 36.82665252685547,ergas 0.39312172800352646,cc 0.9861853276911492,rmse 0.01248785064276251,Ssim 0.9730388994375672,Uqi 0.9982824869298611
Epoch:1320  sam 1.7502607107162476,psnr 37.56593322753906,ergas 0.3664795872279272,cc 0.986253721697392,rmse 0.011671172000404116,Ssim 0.9730380763843124,Uqi 0.9985830089158735
Epoch:1330  sam 1.7468339204788208,psnr 37.11705780029297,ergas 0.3814111551797238,cc 0.9862969723644283,rmse 0.012187498840737719,Ssim 0.9732992075595321,Uqi 0.9984277385165913
Epoch:1340  sam 1.7454640865325928,psnr 37.15973663330078,ergas 0.38015377046291454,cc 0.9863343277140818,rmse 0.012147102847480658,Ssim 0.9733771254216181,Uqi 0.9984388971213931
Epoch:1350  sam 1.7464184761047363,psnr 37.12374496459961,ergas 0.38237630520201404,cc 0.986363986904506,rmse 0.012212244096581743,Ssim 0.973312327210757,Uqi 0.9984178892120691
Epoch:1360  sam 1.7478914260864258,psnr 36.662593841552734,ergas 0.39937423456169646,cc 0.9863778695892417,rmse 0.01272135180661264,Ssim 0.9733746275570618,Uqi 0.9981881959736266
Epoch:1370  sam 1.7353394031524658,psnr 37.14570617675781,ergas 0.38107306703135424,cc 0.9864660042323647,rmse 0.012105066203071408,Ssim 0.9736554642680689,Uqi 0.9984133116915765
Epoch:1380  sam 1.7358579635620117,psnr 36.973636627197266,ergas 0.38650913919751506,cc 0.9865244762522243,rmse 0.012304506095592102,Ssim 0.9736924072470734,Uqi 0.9983468333626554
Epoch:1390  sam 1.7273030281066895,psnr 37.24984359741211,ergas 0.37663201816058534,cc 0.9865875475813546,rmse 0.012011391607399575,Ssim 0.973754601185331,Uqi 0.9984486143769783
Epoch:1400  sam 1.7267405986785889,psnr 37.323577880859375,ergas 0.374011527311078,cc 0.9866311142920694,rmse 0.011902929077479333,Ssim 0.9739111740711212,Uqi 0.998478783962051
Epoch:1410  sam 1.7207728624343872,psnr 37.51704788208008,ergas 0.36800694018533003,cc 0.9866841515938013,rmse 0.011724500043439034,Ssim 0.9739751592759043,Uqi 0.9985398989630114
Epoch:1420  sam 1.7227033376693726,psnr 37.14661407470703,ergas 0.38148035752824233,cc 0.9867138440742055,rmse 0.012122596926928984,Ssim 0.9740523456179468,Uqi 0.9983829139887651
Epoch:1430  sam 1.7170346975326538,psnr 37.48653793334961,ergas 0.3696243672220374,cc 0.9867733063088715,rmse 0.011685911617368447,Ssim 0.9742121787097153,Uqi 0.9985215931295204
